"","Strain","combined_genes","combined_any_prescreen","combined_division","combined_category","n_genes","n_distinct_divisions","Adhesosome","ECM remodelling","n_distinct_categories","combined_division_simplified","combined_category_simplified","wikigene_list","Allele_list","Mutation","Phenotype_list","division_list","category_list","combined_orthology_list"
"40","NG57","epi-1","FALSE","Core matrisome","ECM Glycoproteins","1","1","FALSE","FALSE","1","Core matrisome","ECM Glycoproteins","epi-1","gm57","character(0)","Unc","Core matrisome","ECM Glycoproteins","logical(0)"
"41","NX3","col-121","FALSE","Nematode-specific core matrisome","Cuticular Collagens","1","1","FALSE","FALSE","1","Nematode-specific core matrisome","Cuticular Collagens","col-121","nx3","substitution","character(0)","Nematode-specific core matrisome","Cuticular Collagens","logical(0)"
"42","OD761","let-502","FALSE","","","1","0","FALSE","TRUE","0","Not in matrisome","Not in matrisome","let-502","sb118ts","character(0)","character(0)","character(0)","character(0)","logical(0)"
"43","PHX2339","col-120","FALSE","Nematode-specific core matrisome","Cuticular Collagens","1","1","FALSE","FALSE","1","Nematode-specific core matrisome","Cuticular Collagens","col-120","syb2339","deletion","character(0)","Nematode-specific core matrisome","Cuticular Collagens","logical(0)"
"44","PY1260","ttx-1","TRUE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","ttx-1","oy26","character(0)","character(0)","character(0)","character(0)","logical(0)"
"45","PY9314","rict-1","FALSE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","rict-1","ft7","character(0)","character(0)","character(0)","character(0)","logical(0)"
"46","PY9317","let-363","TRUE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","let-363","sa711","character(0)","character(0)","character(0)","character(0)","logical(0)"
"47","RB1165","col-99","FALSE","Core matrisome","Collagens","1","1","FALSE","FALSE","1","Core matrisome","Collagens","col-99","ok1204","character(0)","character(0)","Core matrisome","Collagens","logical(0)"
"48","RB1566","F09A5.2","TRUE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","F09A5.2","ok1900","character(0)","character(0)","character(0)","character(0)","logical(0)"
"49","RB1574","cut-6","FALSE","Nematode-specific core matrisome","Cuticlin","1","1","FALSE","FALSE","1","Nematode-specific core matrisome","Cuticlin","cut-6","ok1919","character(0)","character(0)","Nematode-specific core matrisome","Cuticlin","logical(0)"
"50","RB1863","flp-12","TRUE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","flp-12","ok2409","deletion","several","character(0)","character(0)","logical(0)"
"51","RB2035","asp-4","FALSE","Matrisome-associated","ECM Regulators","1","1","FALSE","FALSE","1","Matrisome-associated","ECM Regulators","asp-4","ok2693","character(0)","character(0)","Matrisome-associated","ECM Regulators","logical(0)"
"52","RB567","svh-5","TRUE","","","1","0","FALSE","TRUE","0","Not in matrisome","Not in matrisome","svh-5","ok284","character(0)","character(0)","character(0)","character(0)","logical(0)"
"53","RB568","svh-5","TRUE","","","1","0","FALSE","TRUE","0","Not in matrisome","Not in matrisome","svh-5","ok286","deletion","character(0)","character(0)","character(0)","logical(0)"
"54","RB970","ddr-1","FALSE","","","1","0","TRUE","FALSE","0","Not in matrisome","Not in matrisome","ddr-1","ok874","deletion","character(0)","character(0)","character(0)","logical(0)"
"55","SJ17","xbp-1","TRUE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","xbp-1","zc12","substitution","character(0)","character(0)","character(0)","logical(0)"
"56","SP2163","sym-1","TRUE","Nematode-specific matrisome-associated","Secreted Factors","1","1","FALSE","FALSE","1","Nematode-specific matrisome-associated","Secreted Factors","sym-1","mn601","character(0)","character(0)","Nematode-specific matrisome-associated","Secreted Factors","logical(0)"
"57","TM385","lon-2; apl-1","TRUE","Nematode-specific matrisome-associated; Matrisome-associated","ECM-affiliated; ECM-affiliated","2","2","FALSE","FALSE","1","Multiple",NA,"c(""lon-2"", ""apl-1"")","c(""e678"", ""tm385"")","character(0)","character(0)","c(""Nematode-specific matrisome-associated"", ""Matrisome-associated"")","ECM-affiliated","logical(0)"
"58","VC1620","F52B5.2","TRUE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","F52B5.2","ok2069","character(0)","character(0)","character(0)","character(0)","logical(0)"
"59","VC1645","mltn-13","TRUE","","ECM Regulators","1","0","FALSE","TRUE","0","Not in matrisome","Not in matrisome","mltn-13","gk766","deletion","character(0)","character(0)","character(0)","logical(0)"
"60","VC1697","mltn-13","TRUE","","ECM Regulators","1","0","FALSE","TRUE","0","Not in matrisome","Not in matrisome","mltn-13","gk807","insertion","character(0)","character(0)","character(0)","logical(0)"
"61","VC233","gpn-1","FALSE","Matrisome-associated","ECM-affiliated","1","1","FALSE","FALSE","1","Matrisome-associated","ECM-affiliated","gpn-1","ok377","character(0)","character(0)","Matrisome-associated","ECM-affiliated","logical(0)"
"62","VC2504","flp-15","TRUE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","flp-15","gk1184","character(0)","character(0)","character(0)","character(0)","logical(0)"
"63","VC40161","col-120","TRUE","Nematode-specific core matrisome","Cuticular Collagens","1","1","FALSE","FALSE","1","Nematode-specific core matrisome","Cuticular Collagens","col-120","gk490987","substitution","character(0)","Nematode-specific core matrisome","Cuticular Collagens","logical(0)"
"64","VC40247","col-120","TRUE","Nematode-specific core matrisome","Cuticular Collagens","1","1","FALSE","FALSE","1","Nematode-specific core matrisome","Cuticular Collagens","col-120","gk534232","substitution","character(0)","Nematode-specific core matrisome","Cuticular Collagens","logical(0)"
"65","VC40556","col-12","FALSE","Nematode-specific core matrisome","Cuticular Collagens","1","1","FALSE","FALSE","1","Nematode-specific core matrisome","Cuticular Collagens","col-12","gk696412","missense","character(0)","Nematode-specific core matrisome","Cuticular Collagens","logical(0)"
"66","VC40744","col-120","TRUE","Nematode-specific core matrisome","Cuticular Collagens","1","1","FALSE","FALSE","1","Nematode-specific core matrisome","Cuticular Collagens","col-120","gk790263","substitution","character(0)","Nematode-specific core matrisome","Cuticular Collagens","logical(0)"
"67","VC718","cri-2","FALSE","Matrisome-associated","ECM Regulators","1","1","FALSE","FALSE","1","Matrisome-associated","ECM Regulators","cri-2","gk314","character(0)","character(0)","Matrisome-associated","ECM Regulators","logical(0)"
"68","VC855","cle-1","FALSE","Core matrisome","Collagens","1","1","FALSE","FALSE","1","Core matrisome","Collagens","cle-1","gk364","deletion","character(0)","Core matrisome","Collagens","logical(0)"
"69","VC893","atg-18","TRUE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","atg-18","gk378","deletion","character(0)","character(0)","character(0)","logical(0)"
"70","VH1681","ddr-1; ddr-2","FALSE","","","2","0","TRUE","FALSE","0","Not in matrisome","Not in matrisome","c(""ddr-1"", ""ddr-2"")","c(""ok874"", ""ok574"")","character(0)","character(0)","character(0)","character(0)","logical(0)"
"71","VH2401","col-99","FALSE","Core matrisome","Collagens","1","1","FALSE","FALSE","1","Core matrisome","Collagens","col-99","hd130","character(0)","character(0)","Core matrisome","Collagens","logical(0)"
"72","VH2847","col-99","FALSE","Core matrisome","Collagens","1","1","FALSE","FALSE","1","Core matrisome","Collagens","col-99","OE","character(0)","character(0)","Core matrisome","Collagens","logical(0)"
"73","WB201","pat-4","TRUE","","","1","0","FALSE","FALSE","0","Not in matrisome","Not in matrisome","pat-4","st551","substitution","character(0)","character(0)","character(0)","logical(0)"
"74","WS3403","sdn-1","FALSE","Matrisome-associated","ECM-affiliated","1","1","FALSE","FALSE","1","Matrisome-associated","ECM-affiliated","sdn-1","OE","character(0)","character(0)","Matrisome-associated","ECM-affiliated","logical(0)"
"75","WT30","unc-119; cuti-1","FALSE","","","2","0","FALSE","TRUE","0","Not in matrisome","Not in matrisome","c(""unc-119"", ""cuti-1"")","c(""ed3"", ""OE"")","character(0)","character(0)","character(0)","character(0)","logical(0)"
